Id,In_Degree,Out_Degree,Degree,year_copy,Case_ID
212,39,18,57,1971,"[401, 222]"
215,26,12,38,1922,"[258, 549]"
216,0,0,0,1907,"[207, 244]"
217,1,5,6,1923,"[261, 457]"
219,4,8,12,1901,"[179, 641]"
220,1,0,1,1978,"[438, 189]"
221,8,2,10,1883,"[107, 407]"
222,17,8,25,1892,"[146, 499]"
223,3,3,6,1944,"[323, 15]"
224,1,5,6,1989,"[492, 1301]"
225,2,0,2,1883,"[106, 571]"
226,20,36,56,1972,"[406, 498]"
227,5,3,8,1885,"[113, 452]"
228,32,9,41,1962,"[370, 421]"
229,69,48,117,1967,"[388, 218]"
230,62,25,87,1944,"[322, 111]"
231,1,0,1,1969,"[393, 479]"
232,0,0,0,1963,"[374, 107]"
233,2,3,5,1982,"[457, 594]"
234,7,26,33,1987,"[483, 89]"
235,14,59,73,1982,"[458, 375]"
236,0,4,4,1910,"[216, 295]"
238,14,15,29,1939,"[307, 22]"
239,8,44,52,1996,"[517, 416]"
240,13,6,19,1884,"[112, 24]"
241,5,2,7,1883,"[109, 329]"
242,0,4,4,1990,"[497, 154]"
244,8,4,12,1920,"[252, 7]"
245,0,8,8,1922,"[257, 536]"
246,2,2,4,1937,"[300, 26]"
247,1,1,2,1897,"[167, 76]"
248,2,1,3,1917,"[245, 312]"
249,0,0,0,1968,"[393, 904]"
250,0,21,21,2011,"[564, 174]"
252,14,40,54,1975,"[420, 377]"
254,1,0,1,1977,"[434, 945]"
255,24,11,35,1912,"[224, 194]"
258,8,17,25,1960,"[364, 388]"
259,0,0,0,1887,"[120, 86]"
260,307,11,318,1898,"[169, 1]"
261,1,12,13,1999,"[526, 275]"
263,5,30,35,1993,"[509, 389]"
264,73,68,141,1960,"[362, 17]"
265,17,3,20,1941,"[314, 469]"
266,3,13,16,1950,"[339, 619]"
269,3,5,8,1974,"[417, 279]"
270,0,0,0,1914,"[234, 495]"
272,10,41,51,1970,"[399, 30]"
273,2,0,2,1972,"[406, 340]"
275,1,0,1,1991,"[498, 1301]"
276,0,1,1,1999,"[527, 516]"
278,19,13,32,1993,"[508, 223]"
279,399,29,428,1936,"[297, 1]"
280,8,15,23,1972,"[407, 539]"
281,0,0,0,1970,"[400, 982]"
282,0,4,4,1946,"[326, 638]"
283,1,0,1,1900,"[176, 357]"
285,3,24,27,1988,"[486, 174]"
287,1,20,21,2005,"[544, 133]"
289,3,2,5,1913,"[227, 575]"
291,6,38,44,1948,"[333, 611]"
292,1,3,4,1886,"[119, 327]"
293,1,1,2,1922,"[258, 296]"
295,7,4,11,1892,"[144, 570]"
296,16,67,83,1993,"[506, 390]"
297,0,0,0,1965,"[382, 14]"
298,0,0,0,1968,"[393, 13]"
299,1,4,5,1903,"[189, 84]"
300,1,2,3,1963,"[372, 605]"
301,1,5,6,1932,"[287, 346]"
302,7,0,7,1886,"[118, 90]"
304,0,0,0,1943,"[317, 562]"
305,0,0,0,1973,"[411, 952]"
306,4,10,14,1900,"[177, 615]"
309,52,34,86,1945,"[324, 117]"
310,10,0,10,1895,"[158, 285]"
312,36,86,122,1991,"[501, 722]"
314,2,22,24,1983,"[463, 319]"
315,5,1,6,1923,"[262, 165]"
317,2,4,6,1907,"[204, 623]"
318,8,34,42,1913,"[228, 278]"
319,0,0,0,1981,"[453, 916]"
323,0,1,1,1899,"[174, 412]"
324,5,47,52,1964,"[375, 311]"
326,1,17,18,1959,"[361, 129]"
329,0,2,2,1883,"[109, 162]"
330,21,31,52,1927,"[273, 359]"
331,2,0,2,1968,"[392, 657]"
332,12,25,37,1991,"[502, 62]"
333,17,32,49,1948,"[334, 495]"
334,0,17,17,1965,"[379, 671]"
335,1,12,13,1893,"[149, 144]"
336,1,0,1,1904,"[193, 115]"
337,5,19,24,2001,"[531, 497]"
338,4,8,12,1933,"[289, 89]"
339,0,42,42,2011,"[563, 1438]"
340,2,0,2,1887,"[122, 450]"
341,13,4,17,1901,"[183, 13]"
342,6,5,11,1917,"[243, 269]"
343,301,6,307,1976,"[429, 1]"
345,0,2,2,1883,"[108, 267]"
346,3,20,23,1913,"[230, 537]"
347,18,7,25,1948,"[334, 736]"
348,0,0,0,1903,"[188, 577]"
351,3,6,9,1986,"[477, 556]"
353,6,3,9,1925,"[268, 435]"
354,24,8,32,1899,"[175, 309]"
